time,B0,B1,B2,B3,B7,ENABLE,DONE,CLK
342292,0,1,1,1,0,1,0,0
343125,1,0,1,1,0,1,1,0
347292,1,0,1,1,0,1,1,1
347500,1,0,1,1,0,1,0,1
352292,1,0,1,1,0,1,0,0
353125,0,1,1,1,0,1,1,0
357292,0,1,1,1,0,1,1,1
357500,0,1,1,1,0,1,0,1
362292,0,1,1,1,0,1,0,0
363125,0,1,1,1,0,1,1,0
367292,0,1,1,1,0,1,1,1
367500,0,1,1,1,0,1,0,1
372292,0,1,1,1,0,1,0,0
373125,1,0,1,1,0,1,1,0
377292,1,0,1,1,0,1,1,1
377500,1,0,1,1,0,1,0,1
382292,1,0,1,1,0,1,0,0
383125,0,0,1,1,0,1,1,0
387292,0,0,1,1,0,1,1,1
387500,0,0,1,1,0,1,0,1
392292,0,0,1,1,0,1,0,0
393125,1,0,1,1,0,1,1,0
397292,1,0,1,1,0,1,1,1
397500,1,0,1,1,0,1,0,1
402292,1,0,1,1,0,1,0,0
403125,0,1,1,1,0,1,1,0
407292,0,1,1,1,0,1,1,1
407500,0,1,1,1,0,1,0,1
412292,0,1,1,1,0,1,0,0
413125,0,1,1,1,0,1,1,0
417292,0,1,1,1,0,1,1,1
417500,0,1,1,1,0,1,0,1
422292,0,1,1,1,0,1,0,0
423125,0,1,1,1,0,1,1,0
427292,0,1,1,1,0,1,1,1
427500,0,1,1,1,0,1,0,1
432292,0,1,1,1,0,1,0,0
433125,0,0,1,1,0,1,1,0
433333,1,0,1,1,0,1,1,0
437292,1,0,1,1,0,1,1,1
437500,1,0,1,1,0,1,0,1
442292,1,0,1,1,0,1,0,0
443125,0,0,1,1,0,1,0,0
443333,0,0,1,1,0,1,1,0
447292,0,0,1,1,0,1,1,1
447500,0,0,1,1,0,1,0,1
452292,0,0,1,1,0,1,0,0
453125,1,0,1,1,0,1,1,0
457292,1,0,1,1,0,1,1,1
457500,1,0,1,1,0,1,0,1
462292,1,0,1,1,0,1,0,0
463125,1,1,1,1,0,1,1,0
467292,1,1,1,1,0,1,1,1
467500,1,1,1,1,0,1,0,1
472292,1,1,1,1,0,1,0,0
473125,0,1,1,1,0,1,1,0
477292,0,1,1,1,0,1,1,1
477500,0,1,1,1,0,1,0,1
482292,0,1,1,1,0,1,0,0
483125,0,0,1,1,0,1,0,0
483333,1,0,1,1,0,1,1,0
487292,1,0,1,1,0,1,1,1
487500,1,0,1,1,0,1,0,1
492292,1,0,1,1,0,1,0,0
493125,0,0,1,1,0,1,0,0
493333,0,0,1,1,0,1,1,0
497292,0,0,1,1,0,1,1,1
497500,0,0,1,1,0,1,0,1
502292,0,0,1,1,0,1,0,0
503333,1,0,1,1,0,1,1,0
507292,1,0,1,1,0,1,1,1
507500,1,0,1,1,0,1,0,1
512292,1,0,1,1,0,1,0,0
513333,1,0,1,1,0,1,1,0
517292,1,0,1,1,0,1,1,1
517500,1,0,1,1,0,1,0,1
522292,1,0,1,1,0,1,0,0
523125,0,0,1,1,0,1,1,0
523333,0,1,1,1,0,1,1,0
527292,0,1,1,1,0,1,1,1
527500,0,1,1,1,0,1,0,1
532292,0,1,1,1,0,1,0,0
533125,0,0,1,1,0,1,0,0
533333,1,0,1,1,0,1,1,0
537292,1,0,1,1,0,1,1,1
537500,1,0,1,1,0,1,0,1
542292,1,0,1,1,0,1,0,0
543333,1,0,1,1,0,1,1,0
547292,1,0,1,1,0,1,1,1
547500,1,0,1,1,0,1,0,1
552292,1,0,1,1,0,1,0,0
553333,1,0,1,1,0,1,1,0
557292,1,0,1,1,0,1,1,1
557500,1,0,1,1,0,1,0,1
562292,1,0,1,1,0,1,0,0
563125,0,0,1,1,0,1,0,0
563333,0,1,1,1,0,1,1,0
567292,0,1,1,1,0,1,1,1
567500,0,1,1,1,0,1,0,1
572292,0,1,1,1,0,1,0,0
573333,1,1,1,1,0,1,1,0
577292,1,1,1,1,0,1,1,1
577500,1,1,1,1,0,1,0,1
582292,1,1,1,1,0,1,0,0
583333,1,0,1,1,0,1,1,0
587292,1,0,1,1,0,1,1,1
587500,1,0,1,1,0,1,0,1
592292,1,0,1,1,0,1,0,0
593333,1,0,1,1,0,1,1,0
597292,1,0,1,1,0,1,1,1
597500,1,0,1,1,0,1,0,1
602292,1,0,1,1,0,1,0,0
603333,0,1,1,1,0,1,1,0
607292,0,1,1,1,0,1,1,1
607500,0,1,1,1,0,1,0,1
612292,0,1,1,1,0,1,0,0
613333,0,1,1,1,0,1,1,0
617292,0,1,1,1,0,1,1,1
617500,0,1,1,1,0,1,0,1
622292,0,1,1,1,0,1,0,0
623333,0,1,1,1,0,1,1,0
627292,0,1,1,1,0,1,1,1
627500,0,1,1,1,0,1,0,1
632292,0,1,1,1,0,1,0,0
633333,0,1,1,1,0,1,1,0
637292,0,1,1,1,0,1,1,1
637500,0,1,1,1,0,1,0,1
642292,0,1,1,1,0,1,0,0
643333,1,0,1,1,0,1,1,0
647292,1,0,1,1,0,1,1,1
647500,1,0,1,1,0,1,0,1
652292,1,0,1,1,0,1,0,0
653333,0,0,1,1,0,1,1,0
657292,0,0,1,1,0,1,1,1
657500,0,0,1,1,0,1,0,1
662292,0,0,1,1,0,1,0,0
663333,0,1,1,1,0,1,1,0
667292,0,1,1,1,0,1,1,1
667500,0,1,1,1,0,1,0,1
672292,0,1,1,1,0,1,0,0
673333,1,1,1,1,0,1,1,0
677292,1,1,1,1,0,1,1,1
677500,1,1,1,1,0,1,0,1
682292,1,1,1,1,0,1,0,0
683333,1,0,1,1,0,1,1,0
687292,1,0,1,1,0,1,1,1
687500,1,0,1,1,0,1,0,1
692500,1,0,1,1,0,1,0,0
693333,1,0,1,1,0,1,1,0
697500,1,0,1,1,0,1,0,1
702500,1,0,1,1,0,1,0,0
703333,1,0,1,1,0,1,1,0
707500,1,0,1,1,0,1,0,1
712500,1,0,1,1,0,1,0,0
713333,0,1,1,1,0,1,1,0
717500,0,1,1,1,0,1,1,1
717708,0,1,1,1,0,1,0,1
722500,0,1,1,1,0,1,0,0
723333,0,1,1,1,0,1,1,0
727500,0,1,1,1,0,1,1,1
727708,0,1,1,1,0,1,0,1
732500,0,1,1,1,0,1,0,0
733333,0,1,1,1,0,1,1,0
737500,0,1,1,1,0,1,1,1
737708,0,1,1,1,0,1,0,1
742500,0,1,1,1,0,1,0,0
743333,0,1,1,1,0,1,1,0
747500,0,1,1,1,0,1,1,1
747708,0,1,1,1,0,1,0,1
752500,0,1,1,1,0,1,0,0
753333,1,0,1,1,0,1,1,0
757500,1,0,1,1,0,1,1,1
757708,1,0,1,1,0,1,0,1
762500,1,0,1,1,0,1,0,0
763333,1,0,1,1,0,1,1,0
767500,1,0,1,1,0,1,1,1
767708,1,0,1,1,0,1,0,1
772500,1,0,1,1,0,1,0,0
773333,0,1,1,1,0,1,1,0
777500,0,1,1,1,0,1,1,1
777708,0,1,1,1,0,1,0,1
782500,0,1,1,1,0,1,0,0
783333,0,1,1,1,0,1,1,0
787500,0,1,1,1,0,1,1,1
787708,0,1,1,1,0,1,0,1
792500,0,1,1,1,0,1,0,0
793333,1,0,1,1,0,1,1,0
797500,1,0,1,1,0,1,1,1
797708,1,0,1,1,0,1,0,1
802500,1,0,1,1,0,1,0,0
803333,0,1,1,1,0,1,1,0
807500,0,1,1,1,0,1,1,1
807708,0,1,1,1,0,1,0,1
812500,0,1,1,1,0,1,0,0
813333,1,0,1,1,0,1,1,0
817500,1,0,1,1,0,1,1,1
817708,1,0,1,1,0,1,0,1
822500,1,0,1,1,0,1,0,0
823333,0,1,1,1,0,1,1,0
827500,0,1,1,1,0,1,1,1
827708,0,1,1,1,0,1,0,1
832500,0,1,1,1,0,1,0,0
833333,0,1,1,1,0,1,1,0
837500,0,1,1,1,0,1,1,1
837708,0,1,1,1,0,1,0,1
842500,0,1,1,1,0,1,0,0
843333,0,0,1,1,0,1,1,0
843542,1,0,1,1,0,1,1,0
847500,1,0,1,1,0,1,1,1
847708,1,0,1,1,0,1,0,1
852500,1,0,1,1,0,1,0,0
853333,0,0,1,1,0,1,1,0
857500,0,0,1,1,0,1,1,1
857708,0,0,1,1,0,1,0,1
862500,0,0,1,1,0,1,0,0
863542,1,0,1,1,0,1,1,0
867500,1,0,1,1,0,1,1,1
867708,1,0,1,1,0,1,0,1
872500,1,0,1,1,0,1,0,0
873333,0,0,1,1,0,1,1,0
873542,0,1,1,1,0,1,1,0
877500,0,1,1,1,0,1,1,1
877708,0,1,1,1,0,1,0,1
882500,0,1,1,1,0,1,0,0
883333,0,1,1,1,0,1,1,0
887500,0,1,1,1,0,1,1,1
887708,0,1,1,1,0,1,0,1
892500,0,1,1,1,0,1,0,0
893333,0,1,1,1,0,1,1,0
897500,0,1,1,1,0,1,1,1
897708,0,1,1,1,0,1,0,1
902500,0,1,1,1,0,1,0,0
903333,0,0,1,1,0,1,0,0
903542,1,0,1,1,0,1,1,0
907500,1,0,1,1,0,1,1,1
907708,1,0,1,1,0,1,0,1
912500,1,0,1,1,0,1,0,0
913333,0,0,1,1,0,1,0,0
913542,0,1,1,1,0,1,1,0
917500,0,1,1,1,0,1,1,1
917708,0,1,1,1,0,1,0,1
922500,0,1,1,1,0,1,0,0
923542,0,1,1,1,0,1,1,0
927500,0,1,1,1,0,1,1,1
927708,0,1,1,1,0,1,0,1
932500,0,1,1,1,0,1,0,0
933333,0,0,1,1,0,1,0,0
933542,1,0,1,1,0,1,1,0
937500,1,0,1,1,0,1,1,1
937708,1,0,1,1,0,1,0,1
942500,1,0,1,1,0,1,0,0
943333,0,0,1,1,0,1,0,0
943542,0,1,1,1,0,1,1,0
947500,0,1,1,1,0,1,1,1
947708,0,1,1,1,0,1,0,1
952500,0,1,1,1,0,1,0,0
953333,0,1,1,1,0,1,1,0
957500,0,1,1,1,0,1,1,1
957708,0,1,1,1,0,1,0,1
962500,0,1,1,1,0,1,0,0
963333,0,0,1,1,0,1,0,0
963542,1,0,1,1,0,1,1,0
967500,1,0,1,1,0,1,1,1
967708,1,0,1,1,0,1,0,1
972500,1,0,1,1,0,1,0,0
973542,1,0,1,1,0,1,1,0
977500,1,0,1,1,0,1,1,1
977708,1,0,1,1,0,1,0,1
982500,1,0,1,1,0,1,0,0
983333,0,0,1,1,0,1,0,0
983542,0,1,1,1,0,1,1,0
987500,0,1,1,1,0,1,1,1
987708,0,1,1,1,0,1,0,1
992500,0,1,1,1,0,1,0,0
993542,0,1,1,1,0,1,1,0
997500,0,1,1,1,0,1,1,1
997708,0,1,1,1,0,1,0,1
1002500,0,1,1,1,0,1,0,0
1003542,1,0,1,1,0,1,1,0
1007500,1,0,1,1,0,1,1,1
1007708,1,0,1,1,0,1,0,1
1012500,1,0,1,1,0,1,0,0
1013542,1,0,1,1,0,1,1,0
1017500,1,0,1,1,0,1,1,1
1017708,1,0,1,1,0,1,0,1
1022500,1,0,1,1,0,1,0,0
1023542,0,1,1,1,0,1,1,0
1027500,0,1,1,1,0,1,1,1
1027708,0,1,1,1,0,1,0,1
1032500,0,1,1,1,0,1,0,0
1033542,1,1,1,1,0,1,1,0
1037500,1,1,1,1,0,1,1,1
1037708,1,1,1,1,0,1,0,1
1042500,1,1,1,1,0,1,0,0
1043542,0,1,1,1,0,1,1,0
1047500,0,1,1,1,0,1,1,1
1047708,0,1,1,1,0,1,0,1
1052500,0,1,1,1,0,1,0,0
1053542,0,0,1,1,0,1,1,0
1057500,0,0,1,1,0,1,1,1
1057708,0,0,1,1,0,1,0,1
1062500,0,0,1,1,0,1,0,0
1063542,0,1,1,1,0,1,1,0
1067500,0,1,1,1,0,1,1,1
1067708,0,1,1,1,0,1,0,1
1072500,0,1,1,1,0,1,0,0
1073542,1,1,1,1,0,1,1,0
1077500,1,1,1,1,0,1,1,1
1077708,1,1,1,1,0,1,0,1
1082500,1,1,1,1,0,1,0,0
1083542,1,0,1,1,0,1,1,0
1087500,1,0,1,1,0,1,1,1
1087708,1,0,1,1,0,1,0,1
1092500,1,0,1,1,0,1,0,0
1093542,0,1,1,1,0,1,1,0
1097500,0,1,1,1,0,1,1,1
1097708,0,1,1,1,0,1,0,1
1102500,0,1,1,1,0,1,0,0
1103542,1,0,1,1,0,1,1,0
1107500,1,0,1,1,0,1,1,1
1107708,1,0,1,1,0,1,0,1
1112708,1,0,1,1,0,1,0,0
1113542,1,0,1,1,0,1,1,0
1117708,1,0,1,1,0,1,0,1
1122708,1,0,1,1,0,1,0,0
1123542,1,0,1,1,0,1,1,0
1127708,1,0,1,1,0,1,0,1
1132708,1,0,1,1,0,1,0,0
1133542,1,0,1,1,0,1,1,0
1137708,1,0,1,1,0,1,1,1
1137917,1,0,1,1,0,1,0,1
1142708,1,0,1,1,0,1,0,0
1143542,1,0,1,1,0,1,1,0
1147708,1,0,1,1,0,1,1,1
1147917,1,0,1,1,0,1,0,1
1152708,1,0,1,1,0,1,0,0
1153542,0,1,1,1,0,1,1,0
1157708,0,1,1,1,0,1,1,1
1157917,0,1,1,1,0,1,0,1
1162708,0,1,1,1,0,1,0,0
1163542,0,1,1,1,0,1,1,0
1167708,0,1,1,1,0,1,1,1
1167917,0,1,1,1,0,1,0,1
1172708,0,1,1,1,0,1,0,0
1173542,0,1,1,1,0,1,1,0
1177708,0,1,1,1,0,1,1,1
1177917,0,1,1,1,0,1,0,1
1182708,0,1,1,1,0,1,0,0
1183542,1,0,1,1,0,1,1,0
1187708,1,0,1,1,0,1,1,1
1187917,1,0,1,1,0,1,0,1
1192708,1,0,1,1,0,1,0,0
1193542,0,1,1,1,0,1,1,0
1197708,0,1,1,1,0,1,1,1
1197917,0,1,1,1,0,1,0,1
1202708,0,1,1,1,0,1,0,0
1203542,0,1,1,1,0,1,1,0
1207708,0,1,1,1,0,1,1,1
1207917,0,1,1,1,0,1,0,1
1212708,0,1,1,1,0,1,0,0
1213542,1,0,1,1,0,1,1,0
1217708,1,0,1,1,0,1,1,1
1217917,1,0,1,1,0,1,0,1
1222708,1,0,1,1,0,1,0,0
1223542,0,1,1,1,0,1,1,0
1227708,0,1,1,1,0,1,1,1
1227917,0,1,1,1,0,1,0,1
1232708,0,1,1,1,0,1,0,0
1233542,0,1,1,1,0,1,1,0
1237708,0,1,1,1,0,1,1,1
1237917,0,1,1,1,0,1,0,1
1242708,0,1,1,1,0,1,0,0
1243542,1,0,1,1,0,1,1,0
1247708,1,0,1,1,0,1,1,1
1247917,1,0,1,1,0,1,0,1
1252708,1,0,1,1,0,1,0,0
1253542,1,0,1,1,0,1,1,0
1257708,1,0,1,1,0,1,1,1
1257917,1,0,1,1,0,1,0,1
1262708,1,0,1,1,0,1,0,0
1263542,1,0,1,1,0,1,1,0
1267708,1,0,1,1,0,1,1,1
1267917,1,0,1,1,0,1,0,1
1272708,1,0,1,1,0,1,0,0
1273542,1,0,1,1,0,1,1,0
1277708,1,0,1,1,0,1,1,1
1277917,1,0,1,1,0,1,0,1
1282708,1,0,1,1,0,1,0,0
1283542,1,0,1,1,0,1,1,0
1287708,1,0,1,1,0,1,1,1
1287917,1,0,1,1,0,1,0,1
1292708,1,0,1,1,0,1,0,0
1293542,0,0,1,1,0,1,1,0
1293750,0,1,1,1,0,1,1,0
1297708,0,1,1,1,0,1,1,1
1297917,0,1,1,1,0,1,0,1
1302708,0,1,1,1,0,1,0,0
1303542,0,1,1,1,0,1,1,0
1307708,0,1,1,1,0,1,1,1
1307917,0,1,1,1,0,1,0,1
1312708,0,1,1,1,0,1,0,0
1313542,0,1,1,1,0,1,1,0
1317708,0,1,1,1,0,1,1,1
1317917,0,1,1,1,0,1,0,1
1322708,0,1,1,1,0,1,0,0
1323542,0,1,1,1,0,1,1,0
1327708,0,1,1,1,0,1,1,1
1327917,0,1,1,1,0,1,0,1
1332708,0,1,1,1,0,1,0,0
1333542,0,0,1,1,0,1,0,0
1333750,1,0,1,1,0,1,1,0
1337708,1,0,1,1,0,1,1,1
1337917,1,0,1,1,0,1,0,1
1342708,1,0,1,1,0,1,0,0
1343542,0,0,1,1,0,1,0,0
1343750,0,1,1,1,0,1,1,0
1347708,0,1,1,1,0,1,1,1
1347917,0,1,1,1,0,1,0,1
1352708,0,1,1,1,0,1,0,0
1353542,0,0,1,1,0,1,0,0
1353750,1,0,1,1,0,1,1,0
1357708,1,0,1,1,0,1,1,1
1357917,1,0,1,1,0,1,0,1
1362708,1,0,1,1,0,1,0,0
1363542,0,0,1,1,0,1,0,0
1363750,0,1,1,1,0,1,1,0
1367708,0,1,1,1,0,1,1,1
1367917,0,1,1,1,0,1,0,1
1372708,0,1,1,1,0,1,0,0
1373750,0,1,1,1,0,1,1,0
1377708,0,1,1,1,0,1,1,1
1377917,0,1,1,1,0,1,0,1
1382708,0,1,1,1,0,1,0,0
1383750,1,0,1,1,0,1,1,0
1387708,1,0,1,1,0,1,1,1
1387917,1,0,1,1,0,1,0,1
1392708,1,0,1,1,0,1,0,0
1393750,1,0,1,1,0,1,1,0
1397708,1,0,1,1,0,1,1,1
1397917,1,0,1,1,0,1,0,1
1402708,1,0,1,1,0,1,0,0
1403750,0,1,1,1,0,1,1,0
1407708,0,1,1,1,0,1,1,1
1407917,0,1,1,1,0,1,0,1
1412708,0,1,1,1,0,1,0,0
1413750,1,0,1,1,0,1,1,0
1417708,1,0,1,1,0,1,1,1
1417917,1,0,1,1,0,1,0,1
1422708,1,0,1,1,0,1,0,0
1423750,1,0,1,1,0,1,1,0
1427708,1,0,1,1,0,1,1,1
1427917,1,0,1,1,0,1,0,1
1432708,1,0,1,1,0,1,0,0
1433750,1,0,1,1,0,1,1,0
1437708,1,0,1,1,0,1,1,1
1437917,1,0,1,1,0,1,0,1
1442708,1,0,1,1,0,1,0,0
1443750,1,0,1,1,0,1,1,0
1447708,1,0,1,1,0,1,1,1
1447917,1,0,1,1,0,1,0,1
1452708,1,0,1,1,0,1,0,0
1453750,1,0,1,1,0,1,1,0
1457708,1,0,1,1,0,1,1,1
1457917,1,0,1,1,0,1,0,1
1462708,1,0,1,1,0,1,0,0
1463750,0,1,1,1,0,1,1,0
1467708,0,1,1,1,0,1,1,1
1467917,0,1,1,1,0,1,0,1
1472708,0,1,1,1,0,1,0,0
1473750,0,1,1,1,0,1,1,0
1477708,0,1,1,1,0,1,1,1
1477917,0,1,1,1,0,1,0,1
1482708,0,1,1,1,0,1,0,0
1483750,1,0,1,1,0,1,1,0
1487708,1,0,1,1,0,1,1,1
1487917,1,0,1,1,0,1,0,1
1492708,1,0,1,1,0,1,0,0
1493750,1,0,1,1,0,1,1,0
1497708,1,0,1,1,0,1,1,1
1497917,1,0,1,1,0,1,0,1
1502708,1,0,1,1,0,1,0,0
1503750,1,0,1,1,0,1,1,0
1507708,1,0,1,1,0,1,1,1
1507917,1,0,1,1,0,1,0,1
1512708,1,0,1,1,0,1,0,0
1513750,1,0,1,1,0,1,1,0
1517708,1,0,1,1,0,1,1,1
1517917,1,0,1,1,0,1,0,1
1522708,1,0,1,1,0,1,0,0
1523750,0,1,1,1,0,1,1,0
1527708,0,1,1,1,0,1,1,1
1527917,0,1,1,1,0,1,0,1
1532917,0,1,1,1,0,1,0,0
1533750,0,1,1,1,0,1,1,0
1537917,0,1,1,1,0,1,0,1
1542917,0,1,1,1,0,1,0,0
1543750,0,1,1,1,0,1,1,0
1547917,0,1,1,1,0,1,0,1
1552917,0,1,1,1,0,1,0,0
1553750,1,0,1,1,0,1,1,0
1557917,1,0,1,1,0,1,1,1
1558125,1,0,1,1,0,1,0,1
1562917,1,0,1,1,0,1,0,0
1563750,1,0,1,1,0,1,1,0
1567917,1,0,1,1,0,1,1,1
1568125,1,0,1,1,0,1,0,1
1572917,1,0,1,1,0,1,0,0
1573750,1,0,1,1,0,1,1,0
1577917,1,0,1,1,0,1,1,1
1578125,1,0,1,1,0,1,0,1
1582917,1,0,1,1,0,1,0,0
1583750,0,0,0,0,0,1,1,0
1587917,0,0,0,0,0,1,1,1
1588125,0,0,0,0,0,1,0,1
1592917,0,0,0,0,0,1,0,0
1593750,1,1,1,1,0,1,1,0
1597917,1,1,1,1,0,1,1,1
1598125,1,1,1,1,0,1,0,1
1602917,1,1,1,1,0,1,0,0
1603750,0,0,1,1,0,1,1,0
1607917,0,0,1,1,0,1,1,1
1608125,0,0,1,1,0,1,0,1
1612917,0,0,1,1,0,1,0,0
1613750,1,0,1,1,0,1,1,0
1617917,1,0,1,1,0,1,1,1
1618125,1,0,1,1,0,1,0,1
1622917,1,0,1,1,0,1,0,0
1623750,0,1,1,1,0,1,1,0
1627917,0,1,1,1,0,1,1,1
1628125,0,1,1,1,0,1,0,1
1632917,0,1,1,1,0,1,0,0
1633750,0,1,1,1,0,1,1,0
1637917,0,1,1,1,0,1,1,1
1638125,0,1,1,1,0,1,0,1
1642917,0,1,1,1,0,1,0,0
1643750,0,1,1,1,0,1,1,0
1647917,0,1,1,1,0,1,1,1
1648125,0,1,1,1,0,1,0,1
1652917,0,1,1,1,0,1,0,0
1653750,0,0,1,1,0,1,1,0
1657917,0,0,1,1,0,1,1,1
1658125,0,0,1,1,0,1,0,1
1662917,0,0,1,1,0,1,0,0
1663750,0,0,1,1,0,1,1,0
1667917,0,0,1,1,0,1,1,1
1668125,0,0,1,1,0,1,0,1
1672917,0,0,1,1,0,1,0,0
1673750,0,1,1,1,0,1,1,0
1677917,0,1,1,1,0,1,1,1
1678125,0,1,1,1,0,1,0,1
1682917,0,1,1,1,0,1,0,0
1683750,0,1,1,1,0,1,1,0
1687917,0,1,1,1,0,1,1,1
1688125,0,1,1,1,0,1,0,1
1692917,0,1,1,1,0,1,0,0
1693750,0,1,1,1,0,1,1,0
1697917,0,1,1,1,0,1,1,1
1698125,0,1,1,1,0,1,0,1
1702917,0,1,1,1,0,1,0,0
1703750,0,0,1,1,0,1,1,0
1707917,0,0,1,1,0,1,1,1
1708125,0,0,1,1,0,1,0,1
1712917,0,0,1,1,0,1,0,0
1713958,0,0,1,1,0,1,1,0
1717917,0,0,1,1,0,1,1,1
1718125,0,0,1,1,0,1,0,1
1722917,0,0,1,1,0,1,0,0
1723750,0,1,1,1,0,1,1,0
1727917,0,1,1,1,0,1,1,1
1728125,0,1,1,1,0,1,0,1
1732917,0,1,1,1,0,1,0,0
1733750,0,1,1,1,0,1,1,0
1737917,0,1,1,1,0,1,1,1
1738125,0,1,1,1,0,1,0,1
1742917,0,1,1,1,0,1,0,0
1743750,0,0,1,1,0,1,0,0
1743958,1,0,1,1,0,1,1,0
